No,Plot,Subplot,Species,Light_ISF,Light_Cat,Core,Soil,Adult,Sterile,Conspecific,Myco,SoilMyco,PlantDate,AMF,EMF,Phenolics,Lignin,NSC,Census,Time,Event,Harvest,Alive
417,1,B,Quercus alba,0.1,Med,2017,Acer rubrum,1386,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,12.86,22.31,4.67,17.64,23.98,33,115.5,0,,1
1177,3,B,Prunus serotina,0.082,Med,2017,Prunus serotina,G,Non-Sterile,Conspecific,AMF,AMF,6/7/18,30.68,,0.38,9.31,11.9,7,24.5,1,,
1182,3,D,Quercus rubra,0.087,Med,2017,Quercus alba,1320,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,25,8.16,3.83,20.9,18.1,7,24.5,0,1,
428,1,D,Quercus alba,0.107,Med,2017,Sterile,1478,Sterile,Sterilized,EMF,Sterile,5/10/18,11.59,11.88,3.73,21.08,17.84,33,115.5,0,,1
432,1,E,Quercus alba,0.098,Med,2016,Acer saccharum,961,Non-Sterile,Heterospecific,EMF,AMF,5/23/18,22.03,30.14,5.01,18.79,22.71,33,115.5,0,,1
433,2,A,Acer saccharum,0.083,Med,2017,Populus grandidentata,891,Non-Sterile,Heterospecific,AMF,EMF,6/1/18,14.7,,-0.22,13.7,12.02,18,63,1,,
434,2,A,Prunus serotina,0.083,Med,2017,Sterile,1027,Sterile,Sterilized,AMF,Sterile,6/5/18,10.01,,0.08,7.38,11.59,17,59.5,1,,
436,2,A,Quercus alba,0.083,Med,2016,Quercus rubra,984,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,22.69,39.08,5.07,20.06,20.32,20,70,1,,
1204,3,D,Quercus rubra,0.087,Med,2017,Quercus rubra,1454,Non-Sterile,Conspecific,EMF,EMF,5/24/18,14,7,3.42,24.75,14.66,7,24.5,0,1,
1209,3,B,Acer saccharum,0.082,Med,2017,Quercus rubra,1595,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14.34,,0.04,13.87,12.07,7,24.5,1,,
1220,3,D,Quercus alba,0.087,Med,2017,Quercus rubra,921,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,20,38.89,5.34,20.57,19.41,7,24.5,0,1,
1221,3,D,Quercus rubra,0.087,Med,2017,Prunus serotina,H,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,18,26.67,2.59,27.62,11.09,7,24.5,0,1,
444,2,C,Acer saccharum,0.097,Med,2016,Sterile,961,Sterile,Sterilized,AMF,Sterile,5/17/18,6.92,,0.08,12.49,12.31,19,66.5,1,,
1224,3,D,Prunus serotina,0.087,Med,2017,Sterile,I,Sterile,Sterilized,AMF,Sterile,6/5/18,21,,0.27,10.36,16.74,7,24.5,0,1,
1229,3,B,Acer saccharum,0.082,Med,2016,Prunus serotina,J,Non-Sterile,Heterospecific,AMF,AMF,6/8/18,15,,-0.4,13.33,13.68,7,24.5,0,1,
1234,3,D,Quercus rubra,0.087,Med,2017,Prunus serotina,J,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,22.29,27.83,3.35,24.9,14.95,7,24.5,1,,
456,2,A,Quercus rubra,0.083,Med,2017,Sterile,1688,Sterile,Sterilized,EMF,Sterile,5/23/18,4.89,3.78,3.39,24.95,14.51,17,59.5,1,,
1235,3,D,Quercus alba,0.087,Med,2017,Sterile,1715,Sterile,Sterilized,EMF,Sterile,5/17/18,2,0,3.21,19.19,19.05,7,24.5,0,1,
1245,3,B,Quercus alba,0.082,Med,2016,Prunus serotina,I,Non-Sterile,Heterospecific,EMF,AMF,6/15/18,16,10,3.82,18.49,20.93,7,24.5,0,1,
1256,3,D,Acer saccharum,0.087,Med,2016,Populus grandidentata,285,Non-Sterile,Heterospecific,AMF,EMF,6/1/18,14.72,,-0.08,13.88,12.21,7,24.5,1,,
1269,3,B,Quercus rubra,0.082,Med,2017,Quercus rubra,921,Non-Sterile,Conspecific,EMF,EMF,5/24/18,22,0,2.65,26.05,11.46,7,24.5,0,1,
1270,3,D,Quercus alba,0.087,Med,2016,Quercus rubra,970,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,12,28.57,5.34,20.74,19.02,7,24.5,0,1,
1284,3,B,Acer saccharum,0.082,Med,2017,Acer rubrum,1326,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,19.14,,-0.09,13.75,12.02,7,24.5,1,,
1292,3,D,Acer saccharum,0.087,Med,2016,Acer saccharum,961,Non-Sterile,Conspecific,AMF,AMF,6/1/18,16,,0.61,13.34,12.58,7,24.5,0,1,
1300,4,A,Prunus serotina,0.078,Med,2017,Sterile,1027,Sterile,Sterilized,AMF,Sterile,6/5/18,2,,0.17,9.97,14.83,7,24.5,0,1,
1301,4,A,Quercus rubra,0.078,Med,2017,Prunus serotina,I,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,31,60,2.46,27.08,9.94,7,24.5,0,1,
496,2,C,Quercus alba,0.097,Med,2017,Prunus serotina,G,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,15.71,38.68,4.24,19,23.37,33,115.5,0,,1
497,2,C,Quercus alba,0.097,Med,2016,Populus grandidentata,394,Non-Sterile,Heterospecific,EMF,EMF,5/29/18,27.93,32.53,4.97,19.41,20.57,33,115.5,0,,1
1306,4,C,Acer saccharum,0.079,Med,2017,Quercus alba,1205,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14.89,,-0.03,14.04,12.55,7,24.5,1,,
503,2,C,Quercus rubra,0.097,Med,2017,Sterile,970,Sterile,Sterilized,EMF,Sterile,5/23/18,8.78,6.92,3.5,24.34,15.47,21,73.5,1,,
504,2,C,Quercus rubra,0.097,Med,2017,Acer rubrum,1468,Non-Sterile,Heterospecific,EMF,AMF,5/30/18,22.17,25.79,3.55,26.7,14.45,33,115.5,0,,1
505,2,A,Acer saccharum,0.083,Med,2017,Quercus alba,1205,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14.7,,-0.03,13.97,12.54,17,59.5,1,,
1307,4,C,Acer saccharum,0.079,Med,2017,Sterile,1757,Sterile,Sterilized,AMF,Sterile,5/18/18,12,,-0.05,11.92,11.73,7,24.5,0,1,
508,2,A,Prunus serotina,0.083,Med,2016,Acer rubrum,1386,Non-Sterile,Heterospecific,AMF,AMF,6/5/18,29.89,,0.37,9.21,11.48,18,63,1,,
1312,4,C,Quercus alba,0.079,Med,2017,Acer saccharum,275,Non-Sterile,Heterospecific,EMF,AMF,5/23/18,0,14.29,4.97,25.04,15.64,7,24.5,0,1,
1324,4,C,Quercus alba,0.079,Med,2016,Quercus alba,1297,Non-Sterile,Conspecific,EMF,EMF,5/22/18,26,60,4.92,23.34,16.81,7,24.5,0,1,
516,2,C,Quercus rubra,0.097,Med,2016,Quercus rubra,921,Non-Sterile,Conspecific,EMF,EMF,5/24/18,21.42,42.66,3.67,26.32,14.7,33,115.5,0,,1
524,2,A,Quercus alba,0.083,Med,2016,Quercus rubra,1688,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,22.69,39.08,5.07,20.06,20.32,33,115.5,0,,1
525,2,A,Quercus alba,0.083,Med,2016,Quercus alba,1478,Non-Sterile,Conspecific,EMF,EMF,5/22/18,11.48,37.96,5.02,23.06,16.79,23,80.5,1,,
532,2,C,Quercus rubra,0.097,Med,2017,Populus grandidentata,891,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,18.91,30.64,3.76,20.89,17.96,33,115.5,0,,1
537,2,C,Quercus rubra,0.097,Med,2017,Acer saccharum,561,Non-Sterile,Heterospecific,EMF,AMF,5/30/18,28.86,42.33,3.82,26.8,14.74,19,66.5,1,,
541,2,A,Quercus alba,0.083,Med,2016,Populus grandidentata,277,Non-Sterile,Heterospecific,EMF,EMF,5/29/18,18.38,21.88,4.88,18.46,22.01,33,115.5,0,,1
542,2,A,Prunus serotina,0.083,Med,2017,Acer rubrum,50,Non-Sterile,Heterospecific,AMF,AMF,6/5/18,29.89,,0.37,9.21,11.48,17,59.5,1,,
1339,4,A,Prunus serotina,0.078,Med,2017,Acer rubrum,1386,Non-Sterile,Heterospecific,AMF,AMF,6/5/18,31.87,,0.35,7.92,11.1,7,24.5,1,,
1346,4,C,Quercus alba,0.079,Med,2016,Acer saccharum,1323,Non-Sterile,Heterospecific,EMF,AMF,5/23/18,18,0,3.5,24.44,12.56,7,24.5,0,1,
1350,4,C,Acer saccharum,0.079,Med,2016,Sterile,1323,Sterile,Sterilized,AMF,Sterile,5/18/18,7,,-0.18,13.3,12.34,7,24.5,0,1,
548,2,A,Prunus serotina,0.083,Med,2016,Acer rubrum,1326,Non-Sterile,Heterospecific,AMF,AMF,6/5/18,29.89,,0.37,9.21,11.48,17,59.5,1,,
554,2,C,Quercus alba,0.097,Med,2016,Populus grandidentata,285,Non-Sterile,Heterospecific,EMF,EMF,5/29/18,27.93,32.53,4.97,19.41,20.57,33,115.5,0,,1
1354,4,A,Prunus serotina,0.078,Med,2016,Prunus serotina,H,Non-Sterile,Conspecific,AMF,AMF,6/8/18,34.76,,0.46,8.54,11.6,7,24.5,1,,
1359,4,A,Acer saccharum,0.078,Med,2017,Populus grandidentata,277,Non-Sterile,Heterospecific,AMF,EMF,6/1/18,15.86,,-0.2,13.81,11.98,7,24.5,1,,
564,2,A,Quercus alba,0.083,Med,2017,Sterile,1478,Sterile,Sterilized,EMF,Sterile,5/17/18,1.11,1.24,2.98,18.78,19.02,33,115.5,0,,1
1360,4,C,Quercus alba,0.079,Med,2016,Acer rubrum,50,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,5,10.53,4.44,13.63,22.3,7,24.5,0,1,
568,2,C,Quercus alba,0.097,Med,2017,Quercus rubra,1595,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,15.66,36.41,5.23,21.28,18.19,20,70,1,,
1385,4,C,Acer saccharum,0.079,Med,2017,Sterile,275,Sterile,Sterilized,AMF,Sterile,5/18/18,5,,-0.1,9.4,9.46,7,24.5,0,1,
1393,4,A,Acer saccharum,0.078,Med,2016,Acer saccharum,961,Non-Sterile,Conspecific,AMF,AMF,6/1/18,20.04,,0.26,14.45,11.93,7,24.5,1,,
1414,4,C,Prunus serotina,0.079,Med,2016,Acer rubrum,1384,Non-Sterile,Heterospecific,AMF,AMF,6/5/18,35.48,,0.4,7.81,11.26,7,24.5,1,,
1417,4,C,Acer saccharum,0.079,Med,2017,Populus grandidentata,118,Non-Sterile,Heterospecific,AMF,EMF,6/1/18,15.54,,-0.19,13.75,11.94,7,24.5,1,,
1418,4,C,Prunus serotina,0.079,Med,2017,Quercus alba,1478,Non-Sterile,Heterospecific,AMF,EMF,6/6/18,25.54,,0.66,9.22,11.87,7,24.5,1,,
1421,4,C,Quercus alba,0.079,Med,2017,Acer rubrum,1326,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,13,27.87,3.49,26.57,8.32,7,24.5,0,1,
1458,4,C,Quercus alba,0.079,Med,2017,Acer saccharum,561,Non-Sterile,Heterospecific,EMF,AMF,5/23/18,21,0,4.97,18.29,22.22,7,24.5,0,1,
1464,4,A,Acer saccharum,0.078,Med,2017,Prunus serotina,H,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,22.59,,-0.72,14.06,12.18,7,24.5,1,,
589,2,C,Quercus rubra,0.097,Med,2017,Acer rubrum,1386,Non-Sterile,Heterospecific,EMF,AMF,5/30/18,22.17,25.79,3.55,26.7,14.45,33,115.5,0,,1
1472,4,C,Quercus rubra,0.079,Med,2016,Sterile,970,Sterile,Sterilized,EMF,Sterile,5/23/18,0,0,3.23,24.96,13.41,7,24.5,0,1,
1475,4,C,Quercus alba,0.079,Med,2016,Populus grandidentata,394,Non-Sterile,Heterospecific,EMF,EMF,5/29/18,12,0,4.76,23.42,16.15,7,24.5,0,1,
1479,4,A,Prunus serotina,0.078,Med,2016,Quercus alba,1320,Non-Sterile,Heterospecific,AMF,EMF,6/6/18,25.41,,0.65,9.28,11.93,7,24.5,1,,
1485,4,E,Acer saccharum,0.071,Low,2017,Quercus rubra,1688,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,11.88,,-0.04,11,11.2,7,24.5,1,,
1492,4,C,Acer saccharum,0.079,Med,2016,Acer saccharum,1330,Non-Sterile,Conspecific,AMF,AMF,6/1/18,19.56,,0.26,14.14,11.89,7,24.5,1,,
1493,4,C,Quercus rubra,0.079,Med,2016,Acer rubrum,1386,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,7,34.62,3.56,26.33,15.14,7,24.5,0,1,
1509,4,C,Quercus alba,0.079,Med,2016,Quercus alba,1478,Non-Sterile,Conspecific,EMF,EMF,6/15/18,22,36.36,3.54,25.94,12.25,7,24.5,0,1,
1510,4,C,Quercus rubra,0.079,Med,2017,Quercus rubra,1454,Non-Sterile,Conspecific,EMF,EMF,5/25/18,15.96,29.74,3.57,25.75,14.62,7,24.5,1,,
1521,4,E,Quercus rubra,0.071,Low,2017,Acer saccharum,1330,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,26,0,3.89,23.43,16.39,7,24.5,0,1,
1531,4,B,Prunus serotina,0.076,Med,2016,Populus grandidentata,285,Non-Sterile,Heterospecific,AMF,EMF,6/8/18,57.98,,0.57,5.4,6.1,7,24.5,1,,
635,2,A,Quercus alba,0.083,Med,2017,Populus grandidentata,1201,Non-Sterile,Heterospecific,EMF,EMF,5/29/18,18.38,21.88,4.88,18.46,22.01,33,115.5,0,,1
639,2,E,Quercus rubra,0.118,Med,2017,Prunus serotina,G,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,17.64,34.98,3.44,22.85,16.6,33,115.5,0,,1
640,2,E,Quercus rubra,0.118,Med,2017,Prunus serotina,I,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,17.64,34.98,3.44,22.85,16.6,33,115.5,0,,1
1554,4,B,Quercus rubra,0.076,Med,2017,Populus grandidentata,394,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,13,0,3.64,22.98,16.12,7,24.5,0,1,
1567,4,B,Quercus rubra,0.076,Med,2017,Populus grandidentata,118,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,27,6.78,3.64,19.3,18.91,7,24.5,0,1,
1576,4,D,Quercus alba,0.073,Low,2017,Populus grandidentata,118,Non-Sterile,Heterospecific,EMF,EMF,5/29/18,7,19,4.69,22.94,16.63,7,24.5,0,1,
1585,4,B,Quercus alba,0.076,Med,2017,Quercus rubra,984,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,19,48.39,4.92,19.29,21.67,7,24.5,0,1,
1587,4,B,Quercus alba,0.076,Med,2017,Sterile,1478,Sterile,Sterilized,EMF,Sterile,5/17/18,6,0,2.83,22.75,16.24,7,24.5,0,1,
654,2,B,Quercus rubra,0.082,Med,2017,Sterile,921,Sterile,Sterilized,EMF,Sterile,5/23/18,4.09,7.25,3.3,24.98,14.45,33,115.5,0,,1
1589,4,B,Acer saccharum,0.076,Med,2016,Acer rubrum,50,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,18.16,,-0.15,10.32,10.73,7,24.5,1,,
1598,4,D,Quercus alba,0.073,Low,2017,Prunus serotina,H,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,11,29.82,3.58,19.82,19.21,7,24.5,0,1,
659,2,E,Acer saccharum,0.118,Med,2017,Sterile,1323,Sterile,Sterilized,AMF,Sterile,5/17/18,8.38,,0.14,10.63,11.53,19,66.5,1,,
1599,4,D,Quercus rubra,0.073,Low,2017,Quercus alba,1205,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,19,15.56,2.9,24.53,12.62,7,24.5,0,1,
1612,4,D,Quercus rubra,0.073,Low,2016,Populus grandidentata,277,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,15,15.79,3.7,22.76,16.8,7,24.5,0,1,
665,2,D,Quercus rubra,0.1,Med,2017,Sterile,984,Sterile,Sterilized,EMF,Sterile,5/23/18,8.35,4.35,3.51,24.68,15.09,33,115.5,0,,1
1617,4,D,Quercus rubra,0.073,Low,2017,Quercus rubra,984,Non-Sterile,Conspecific,EMF,EMF,5/25/18,19,4.17,2.69,32.21,9.85,7,24.5,0,1,
671,2,B,Quercus rubra,0.082,Med,2017,Acer rubrum,50,Non-Sterile,Heterospecific,EMF,AMF,5/30/18,17.88,30.35,3.55,26.87,14.48,19,66.5,1,,
676,2,E,Quercus alba,0.118,Med,2017,Acer saccharum,275,Non-Sterile,Heterospecific,EMF,AMF,5/22/18,22.62,27.21,5.22,18.79,24,21,73.5,1,,
681,2,D,Quercus alba,0.1,Med,2017,Quercus alba,1205,Non-Sterile,Conspecific,EMF,EMF,5/22/18,15.82,35.47,4.97,23.32,16.81,21,73.5,1,,
682,2,D,Quercus alba,0.1,Med,2016,Sterile,1320,Sterile,Sterilized,EMF,Sterile,5/17/18,10.91,13.63,3.77,18.81,21.58,19,66.5,1,,
1622,4,B,Prunus serotina,0.076,Med,2017,Sterile,G,Sterile,Sterilized,AMF,Sterile,6/5/18,1,,0.23,7.67,10.42,7,24.5,0,1,
685,2,B,Acer saccharum,0.082,Med,2017,Sterile,275,Sterile,Sterilized,AMF,Sterile,5/17/18,10.58,,-0.03,12.92,12.57,19,66.5,1,,
688,2,B,Quercus alba,0.082,Med,2017,Quercus rubra,970,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,23.53,37.65,5.01,19.39,20.67,20,70,1,,
1635,4,D,Prunus serotina,0.073,Low,2017,Acer saccharum,275,Non-Sterile,Heterospecific,AMF,AMF,6/7/18,30.16,,0.55,4.97,6.92,7,24.5,1,,
693,2,B,Quercus rubra,0.082,Med,2017,Quercus rubra,970,Non-Sterile,Conspecific,EMF,EMF,5/24/18,14.95,30.19,3.6,25.81,14.58,17,59.5,1,,
1644,4,B,Acer saccharum,0.076,Med,2017,Quercus alba,1715,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,15.55,,-0.04,13.43,12.19,7,24.5,1,,
1645,4,B,Prunus serotina,0.076,Med,2016,Prunus serotina,G,Non-Sterile,Conspecific,AMF,AMF,6/8/18,35.51,,0.44,5.22,7.05,7,24.5,1,,
1647,4,B,Quercus rubra,0.076,Med,2017,Acer saccharum,1757,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,28,0,3.79,26.79,14.46,7,24.5,0,1,
1659,4,B,Quercus alba,0.076,Med,2017,Sterile,1297,Sterile,Sterilized,EMF,Sterile,5/17/18,0,0,3.41,23.55,15.44,7,24.5,0,1,
1660,4,B,Quercus alba,0.076,Med,2016,Quercus rubra,1454,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,17,41.07,4.91,21.39,18,7,24.5,0,1,
1661,4,B,Quercus alba,0.076,Med,2016,Quercus alba,1320,Non-Sterile,Conspecific,EMF,EMF,5/23/18,9,41.38,4.81,23.69,16.19,7,24.5,0,1,
1668,4,D,Prunus serotina,0.073,Low,2017,Acer rubrum,50,Non-Sterile,Heterospecific,AMF,AMF,6/5/18,21.77,,0.31,5.09,6.89,7,24.5,1,,
1669,4,D,Prunus serotina,0.073,Low,2016,Sterile,H,Sterile,Sterilized,AMF,Sterile,6/5/18,11.31,,0.25,6.04,10.08,7,24.5,1,,
712,2,D,Quercus alba,0.1,Med,2017,Sterile,1205,Sterile,Sterilized,EMF,Sterile,5/17/18,10.91,13.63,3.77,18.81,21.58,33,115.5,0,,1
715,2,D,Quercus rubra,0.1,Med,2017,Quercus alba,1297,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,19.52,20.74,3.83,21.37,17.78,33,115.5,0,,1
1671,4,D,Prunus serotina,0.073,Low,2016,Sterile,J,Sterile,Sterilized,AMF,Sterile,6/5/18,11.31,,0.25,6.04,10.08,7,24.5,1,,
725,2,B,Quercus alba,0.082,Med,2017,Populus grandidentata,118,Non-Sterile,Heterospecific,EMF,EMF,5/29/18,16.39,15.84,4.82,17.99,21.76,33,115.5,0,,1
1677,4,B,Quercus rubra,0.076,Med,2017,Prunus serotina,J,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,21,11.54,2.53,24.31,11.6,7,24.5,0,1,
1683,4,B,Quercus rubra,0.076,Med,2017,Acer saccharum,275,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,12,26.67,3.86,19.48,19.29,7,24.5,0,1,
734,2,D,Acer saccharum,0.1,Med,2017,Sterile,561,Sterile,Sterilized,AMF,Sterile,5/17/18,7,,0.08,12.48,12.24,19,66.5,1,,
735,2,D,Quercus alba,0.1,Med,2017,Prunus serotina,I,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,15.35,29.41,4.15,18.88,23.37,19,66.5,1,,
737,2,D,Quercus rubra,0.1,Med,2016,Acer saccharum,961,Non-Sterile,Heterospecific,EMF,AMF,5/30/18,29.07,37.95,3.81,26.63,14.74,33,115.5,0,,1
740,2,B,Quercus alba,0.082,Med,2016,Sterile,1297,Sterile,Sterilized,EMF,Sterile,5/17/18,0.72,0.69,2.87,19.49,17.79,23,80.5,1,,
1686,4,D,Quercus rubra,0.073,Low,2017,Sterile,1454,Sterile,Sterilized,EMF,Sterile,5/23/18,5,0,3.34,23.66,15.59,7,24.5,0,1,
1693,4,B,Acer saccharum,0.076,Med,2016,Quercus rubra,1454,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14.49,,0,10.39,10.83,7,24.5,1,,
745,2,B,Acer saccharum,0.082,Med,2017,Sterile,1757,Sterile,Sterilized,AMF,Sterile,5/17/18,10.58,,-0.03,12.92,12.57,19,66.5,1,,
748,2,D,Quercus rubra,0.1,Med,2016,Acer saccharum,1323,Non-Sterile,Heterospecific,EMF,AMF,5/30/18,29.07,37.95,3.81,26.63,14.74,21,73.5,1,,
749,2,D,Quercus alba,0.1,Med,2017,Prunus serotina,689,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,15.35,29.41,4.15,18.88,23.37,33,115.5,0,,1
1718,4,B,Quercus rubra,0.076,Med,2016,Populus grandidentata,891,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,16,73.68,3.96,22.76,17.22,7,24.5,0,1,
1719,4,B,Quercus alba,0.076,Med,2017,Acer rubrum,1386,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,21,36.84,4.41,21.5,17.62,7,24.5,0,1,
758,2,B,Quercus rubra,0.082,Med,2016,Populus grandidentata,118,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,19.2,29.08,3.72,20.64,18.29,33,115.5,0,,1
1733,5,A,Prunus serotina,0.086,Med,2017,Sterile,G,Sterile,Sterilized,AMF,Sterile,6/5/18,0,,0.19,7.39,11.24,7,24.5,0,1,
763,2,B,Quercus rubra,0.082,Med,2016,Acer saccharum,275,Non-Sterile,Heterospecific,EMF,AMF,5/30/18,20.54,46.06,3.79,26.87,14.81,33,115.5,0,,1
1747,5,A,Quercus alba,0.086,Med,2016,Quercus rubra,970,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,0,29.41,4.86,25.77,14.43,7,24.5,0,1,
1754,5,A,Quercus rubra,0.086,Med,2016,Populus grandidentata,1201,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,32,45.45,3.7,19.15,20.01,7,24.5,0,1,
770,2,D,Quercus alba,0.1,Med,2016,Prunus serotina,J,Non-Sterile,Heterospecific,EMF,AMF,6/15/18,15.35,29.41,4.15,18.88,23.37,33,115.5,0,,1
1758,5,C,Quercus alba,0.098,Med,2017,Prunus serotina,689,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,16,42.86,3.97,18.39,22.39,7,24.5,0,1,
1789,5,A,Prunus serotina,0.086,Med,2017,Acer saccharum,1330,Non-Sterile,Heterospecific,AMF,AMF,6/8/18,35.87,,0.72,10.36,13.55,7,24.5,1,,
781,2,B,Quercus alba,0.082,Med,2017,Acer saccharum,961,Non-Sterile,Heterospecific,EMF,AMF,5/22/18,27.5,20.17,4.84,17.84,21.92,33,115.5,0,,1
1819,5,A,Quercus rubra,0.086,Med,2017,Quercus rubra,984,Non-Sterile,Conspecific,EMF,EMF,5/25/18,17,31.25,3.8,21.03,18.26,7,24.5,0,1,
1826,5,A,Acer saccharum,0.086,Med,2017,Populus grandidentata,891,Non-Sterile,Heterospecific,AMF,EMF,6/1/18,15.37,,-0.03,13.92,12.05,7,24.5,1,,
790,2,D,Quercus alba,0.1,Med,2017,Quercus rubra,921,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,11.18,41.63,5.24,21.72,17.86,33,115.5,0,,1
795,2,B,Quercus alba,0.082,Med,2017,Acer rubrum,50,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,16.76,20.22,4.48,17.56,23.24,33,115.5,0,,1
1830,5,C,Prunus serotina,0.098,Med,2017,Acer rubrum,1468,Non-Sterile,Heterospecific,AMF,AMF,6/5/18,19.52,,0.35,9.6,11.9,7,24.5,1,,
798,2,B,Quercus rubra,0.082,Med,2017,Prunus serotina,689,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,20.73,12.61,2.58,24.61,11.98,33,115.5,0,,1
1836,5,C,Prunus serotina,0.098,Med,2017,Sterile,J,Sterile,Sterilized,AMF,Sterile,6/5/18,0,,0.07,4.95,9.48,7,24.5,0,1,
1851,5,C,Quercus alba,0.098,Med,2017,Sterile,1205,Sterile,Sterilized,EMF,Sterile,5/17/18,12,20,3.72,19.39,19.64,7,24.5,0,1,
1867,5,C,Acer saccharum,0.098,Med,2016,Acer rubrum,1468,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,16.32,,-0.05,13.42,12.12,7,24.5,1,,
1871,5,C,Acer saccharum,0.098,Med,2017,Sterile,561,Sterile,Sterilized,AMF,Sterile,5/18/18,7,,0.1,11.7,11.99,7,24.5,0,1,
1883,5,C,Acer saccharum,0.098,Med,2017,Quercus alba,415,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14.56,,0.05,14.23,12.65,7,24.5,1,,
1886,5,C,Acer saccharum,0.098,Med,2017,Quercus alba,1715,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14.56,,0.05,14.23,12.65,7,24.5,1,,
839,2,D,Quercus alba,0.1,Med,2017,Acer rubrum,1386,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,12.86,22.31,4.67,17.64,23.98,33,115.5,0,,1
842,2,D,Acer saccharum,0.1,Med,2017,Sterile,1330,Sterile,Sterilized,AMF,Sterile,5/17/18,7,,0.08,12.48,12.24,19,66.5,1,,
844,2,D,Quercus alba,0.1,Med,2017,Quercus alba,1297,Non-Sterile,Conspecific,EMF,EMF,5/22/18,15.82,35.47,4.97,23.32,16.81,21,73.5,1,,
1895,5,A,Quercus alba,0.086,Med,2017,Acer rubrum,1384,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,0,11.76,4.51,26.25,14.48,7,24.5,0,1,
1899,5,A,Quercus rubra,0.086,Med,2017,Sterile,970,Sterile,Sterilized,EMF,Sterile,5/23/18,5,4,3.4,25.05,14.59,7,24.5,0,1,
847,2,B,Quercus rubra,0.082,Med,2017,Acer rubrum,1384,Non-Sterile,Heterospecific,EMF,AMF,5/30/18,17.88,30.35,3.55,26.87,14.48,33,115.5,0,,1
1907,5,C,Quercus rubra,0.098,Med,2017,Quercus rubra,921,Non-Sterile,Conspecific,EMF,EMF,5/25/18,72,1.59,3.86,28.11,15.44,7,24.5,0,1,
866,3,A,Quercus rubra,0.08,Med,2017,Quercus alba,1297,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,21.82,23.43,3.78,23.36,16.67,33,115.5,0,,1
867,3,A,Quercus alba,0.08,Med,2016,Acer rubrum,1332,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,15.95,20.2,4.48,17.42,23.36,33,115.5,0,,1
868,3,A,Quercus rubra,0.08,Med,2016,Prunus serotina,I,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,22.83,14.38,2.55,24.77,11.85,33,115.5,0,,1
